1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76,81,86,91,96,
99402,62542,51262,51919,52036,77985,36553,12085,6379,6497,9168,6317,6250,7416,6351,6330,6491,6414,7383,12972,
77144,105678,50268,51096,51267,65652,35547,36726,16064,6257,8219,6262,7242,6181,6245,6270,10866,6167,3754354,23369,
81319,66400,54525,55436,55772,72618,35529,34894,35404,10328,8858,11024,7320,6247,6300,6283,6510,6273,14769,6775,
74747,60269,58966,50070,52042,50981,67606,36110,36064,10353,6343,8747,6259,7817,6202,6202,6200,6184,6241,14416,
75496,61371,57831,50064,51148,50818,68695,34936,35250,17995,6179,8520,7264,7279,6241,6223,6170,6140,6171,13256,
78027,88823,53946,69785,55753,65295,35276,35040,22615,6205,8619,6331,6263,7638,6293,6237,6213,6231,12148,6325,
74968,61469,58799,50282,52039,51937,68946,35235,35572,24955,6399,8967,6314,7601,6478,6292,6415,6139,7754,13643,
74676,452558,44639,36537,35534,36041,37354,10929,6374,8065,6316,6336,8046,6276,6288,6317,6231,14101,6362,6236,
77403,77379,81936,55670,55248,64807,35296,35076,14885,6117,8936,6359,7294,6509,6334,6295,6138,6077,63325,6313,
102649,90055,51234,51899,52160,64035,35482,35184,16186,6387,9275,6334,6347,7665,6280,6306,6275,6295,15119,6279,


176292,94693,122471,93802,93132,93724,93826,93879,93396,99366,179776,93303,599768,17658,20843,16841,18064,16855,17928,16885,
146216,94713,104011,91013,90340,104814,93173,93177,93146,93417,90698,104411,95664,103881,98242,32112,46296,24516,31892,34459,
141558,131472,98437,93725,92997,93326,92932,93037,92975,93293,123165,93495,101295,43417,19934,16840,18347,16821,17998,16810,
142520,108486,90798,90718,106048,103027,93253,93119,113959,93791,93340,93226,93539,93171,93659,93562,125392,93585,97339,93177,
139182,94686,93338,99836,93203,93412,93090,92999,93067,94000,93346,93811,101360,89447,89315,92763,26561,31134,18680,16876,
142165,92197,90469,90928,129322,90616,93136,120490,114647,93579,116617,103297,95284,115761,103148,44032,27672,31978,24889,17716,
147450,94364,93302,93669,121846,93630,93076,103781,90263,90563,94785,91371,220636,94599,89461,44886,41573,30313,22787,17209,
142839,94688,93401,93739,93130,93548,93137,90145,117036,90754,90539,90167,90638,90211,90449,96942,103150,89254,97936,48808,
143254,91940,90626,90647,90257,90651,90287,90196,94651,127815,90673,122389,108405,93942,88871,93164,25283,31261,25298,17716,
143973,91797,90617,90615,90180,95501,90367,90440,89973,90545,90580,102973,95482,101870,88028,338978,19671,16359,17437,16302,


496556,413599,69558,56011,56290,60964,41535,40738,41277,40908,41193,40864,41474,42111,40977,40925,40802,130700,42431,42186,
503116,269866,79930,56909,61511,61510,42010,41278,42221,41276,41400,41423,42076,42587,47582,41501,41299,41530,41279,41879,
539341,404513,58570,66790,39611,57767,51904,39405,51303,41033,40588,41075,41510,40645,40734,40909,41041,40832,41471,40718,
479079,459645,57855,68643,40230,62963,40600,39950,40098,40270,39887,41436,53202,39955,39949,41436,40168,39928,40502,40004,
493737,405159,56698,66806,39851,59098,41609,40717,40922,41121,40836,40953,41219,40791,40908,41069,41074,40840,41147,52105,
501386,312460,57891,54742,64936,59134,41921,41014,41051,41273,41084,41723,41097,40979,41185,46028,41524,40999,41286,40893,
525431,402231,57720,54922,64467,2018311,94066,86608,86258,85639,85013,73229,84539,90599,85969,83874,81242,82723,83719,83072,
517355,363853,58280,56300,54108,47783,41126,40626,40704,40666,40890,40977,41786,41216,41034,41228,41102,40905,41208,40665,
539109,401504,259800,372999,307722,371769,371763,374208,316347,370461,295058,379887,337510,341159,386097,368061,370888,382028,366477,244474,
518861,398546,58812,53399,40871,47388,41270,92622,41700,40882,40700,40827,41268,44824,40848,40919,41247,40665,40998,40666,


181848,101674,100066,100466,100045,106553,100057,100197,100007,100329,100649,99944,132235,96655,80682,35233,30721,34406,25285,33723,
215631,102368,123700,101023,101195,101079,101299,100890,100741,100892,101138,110309,116458,113617,113330,38126,28837,36976,17218,15654,
229241,104943,101281,101342,113147,98498,120766,100703,100682,101031,101127,100688,105820,107757,119875,40448,48847,36425,26446,35663,
207750,100963,98209,98450,98312,98873,117435,111081,97837,98075,98427,101361,107421,153227,109004,33192,40634,26788,37266,15460,
196643,102281,101007,105815,122951,98028,122486,380140,105912,101115,100988,102973,100834,100508,105589,128413,107935,28665,32333,19719,
217959,102338,100993,101542,101042,106260,97731,111161,123250,98187,98150,110781,146889,124562,107998,44109,37395,24778,34029,35101,
205554,99257,97885,141607,97720,98305,97514,122525,98023,98328,115858,100705,105546,101336,92941,37175,32558,38721,17436,15678,
151499,99193,97890,97942,97630,97869,115130,101208,100691,100994,101118,101072,621589,16338,18365,15206,17357,15093,16214,15104,
200480,102350,101025,101065,100682,101261,100627,100710,111956,97829,98032,110041,105970,111979,121680,38761,29160,35734,25886,16019,
190996,102463,129987,101307,97781,101551,111010,109938,100859,106331,103760,101034,129864,101977,108283,63332,29733,35898,17737,15593,
